id,text,label,mode
03bSnISJMiM_1,anyhow it was really good,2.4,train
03bSnISJMiM_2,they didnt really do a whole bunch of background info on why she has to fight and be prepared,-0.8,train
03bSnISJMiM_3,i mean they did a little bit of it,-1.0,train
03bSnISJMiM_4,but not a whole bunch,-1.75,train
03bSnISJMiM_5,and they shouldve i guess,0.0,train
03bSnISJMiM_6,they shouldve live up with more,0.0,train
03bSnISJMiM_7,and xxx but besides that it was all over pretty good,0.8,train
03bSnISJMiM_8,and there is like someone while someone there was a lot of action,0.0,train
03bSnISJMiM_9,oh my god a lot of action,0.2,train
03bSnISJMiM_10,there is sad part,-1.2,train
03bSnISJMiM_11,a lot of sad parts,-0.5,train
03bSnISJMiM_12,but it was really really awesome,2.2,train
03bSnISJMiM_13,and its a really funny,1.8,train
0h-zjBukYpk_1,now the title of the movie basically says it all,-0.4,train
0h-zjBukYpk_2,now im not even gonna sugar coat this this movie frustrated me to such an extreme extent that i was loudly exclaiming why at the end of the film,-2.8,train
0h-zjBukYpk_3,my reason im a comic book fan,-0.2,train
0h-zjBukYpk_4,that like to see comic book characters treated responsibly,-1.4,train
0h-zjBukYpk_5,that huh before we go on with that i must say that this had a surprisingly decent cast,0.8,train
0h-zjBukYpk_6,strange since one of my biggest grapes with the xman series was and always is the xxx now,-1.4,train
0h-zjBukYpk_7,xxx now hugh jackman was always the best choice to play wolverine i will admit that,1.8,train
0h-zjBukYpk_8,and in my opinion he carried the movie fine,0.8,train
0h-zjBukYpk_9,you know nothing great,-1.0,train
0h-zjBukYpk_10,but you know he did it,-0.6,train
0h-zjBukYpk_11,hes a star of the movie,0.4,train
0h-zjBukYpk_12,nothing special,-0.8,train
0h-zjBukYpk_13,he carried it,1.25,train
0h-zjBukYpk_14,which is a smart move since you know you have to be real comic book fan to get what hes name is supposed to be,1.4,train
0h-zjBukYpk_15,but its pretty selfexplanatory but,0.0,train
0h-zjBukYpk_16,um i actually think that liev schreiber is a good actor,0.6,train
0h-zjBukYpk_17,and he almost looks exactly the same as this character in defiance,0.2,train
0h-zjBukYpk_18,i mean it was like he was too lazy to take off the costume or something,-2.0,train
0h-zjBukYpk_19,now other performances are borderline,-0.4,train
0h-zjBukYpk_20,ok but the two big character appearances in this movie are easily deadpool and gambit,0.6,train
0h-zjBukYpk_21,actually i liked him a lot,2.0,train
0h-zjBukYpk_22,and i thought he made a good actor for the dead poor character,1.8,train
0h-zjBukYpk_23,now hes seen at the beginning that really sold me,2.6,train
0h-zjBukYpk_24,i mean that was impressive,2.6,train
0h-zjBukYpk_25,i liked that scene where he had a swords in there and theres bunch of people that are gonna shoot him boom boom boom boom take him down take him down bam bam bam bam bam take that with my magical swords,2.2,train
1DmNV9C1hbY_1,but for this one i just didnt feel like it,-2.0,train
